Région;Dernier jour du mois;﻿Code région;Masse salariale (brute);Glissement annuel - Masse salariale;Assiette chômage partiel;Part de l'assiette chômage partiel
Centre-Val de Loire;2019-10-31;24;1465067611;2.4883085701;1988616;0.1355514508
Centre-Val de Loire;2019-11-30;24;1613265630;2.4008199319;2098349;0.1298994547
Centre-Val de Loire;2020-02-28;24;1439132963;2.4491417351;1591334;0.1104537491
Centre-Val de Loire;2020-08-31;24;1423551974;-1.164440271;16123513;1.1199407884
Centre-Val de Loire;2020-09-30;24;1462831118;-0.369297237;13768811;0.9324672668
Centre-Val de Loire;2020-11-30;24;1540354236;-4.519490941;58822171;3.6782790656
Centre-Val de Loire;2021-02-28;24;1400043836;-2.716158132;;
Centre-Val de Loire;2021-05-31;24;1475589777;20.712684331;;
Centre-Val de Loire;2021-08-31;24;1482101856;4.1129430516;;
Centre-Val de Loire;2021-09-30;24;1523736614;4.1635357117;;
Centre-Val de Loire;2021-12-31;24;1800454901;6.5934988314;;
Centre-Val de Loire;2022-03-31;24;1618570563;8.3249551967;4196857;0.2586234446
Centre-Val de Loire;2022-06-30;24;1735000816;5.4953756337;3013968;0.1734144052
Centre-Val de Loire;2022-08-31;24;1566291383;5.6804143831;1627746;0.103815686
Centre-Val de Loire;2022-10-31;24;1599957468;5.2723464479;2439697;0.1522529528
Centre-Val de Loire;2023-05-31;24;1700961734;5.7112436088;1758483;0.1032749234
Centre-Val de Loire;2023-09-30;24;1680256898;3.8679489597;1212900;0.0721333206
Centre-Val de Loire;2023-11-30;24;1852282127;4.6213975951;1752448;0.0945207831
Centre-Val de Loire;2024-02-28;24;1672023065;3.758539563;1516211;0.0905990688
Centre-Val de Loire;2024-10-31;24;1726905730;3.2499495968;1660062;0.0960369578
Centre-Val de Loire;2024-11-30;24;1909621918;3.0956294489;1660470;0.0868772721
Centre-Val de Loire;2025-01-31;24;1738964813;2.4004555114;1835672;0.1054498787
Centre-Val de Loire;2025-04-30;24;1811623490;2.0238540538;1220507;0.0673255394
Centre-Val de Loire;2025-06-30;24;1927863635;2.1234424862;1123848;0.0582610312
Centre-Val de Loire;2025-10-31;24;1762649390;2.0698095663;1434335;0.0813076488
Centre-Val de Loire;2025-11-30;24;1937451914;1.4573563352;1613725;0.0832217831
Bourgogne-Franche-Comté;2018-01-31;27;1461100116;3.1919502285;2370812;0.161999255
Bourgogne-Franche-Comté;2018-02-28;27;1438363639;3.0843569109;3238394;0.2246385567
Bourgogne-Franche-Comté;2018-04-30;27;1508826970;3.2203710824;1636098;0.1083176434
Bourgogne-Franche-Comté;2018-05-31;27;1505684809;2.1474154176;1375160;0.0912478619
Bourgogne-Franche-Comté;2018-07-31;27;1548717006;2.3108545774;1705372;0.1099940264
Bourgogne-Franche-Comté;2018-09-30;27;1495269725;1.857221653;1005562;0.0672043446
Bourgogne-Franche-Comté;2019-01-31;27;1479383904;1.2513713331;2286956;0.1543497994
Bourgogne-Franche-Comté;2019-06-30;27;1670224074;1.0627273941;1376452;0.0823433577
Bourgogne-Franche-Comté;2019-09-30;27;1521443612;1.7504458602;930285;0.0611075244
Bourgogne-Franche-Comté;2019-10-31;27;1516246226;2.0385981728;1420632;0.0936063137
Bourgogne-Franche-Comté;2020-01-31;27;1516703919;2.5226727761;1938177;0.1276256601
Bourgogne-Franche-Comté;2020-11-30;27;1575688610;-5.424563855;66026519;4.0218012147
Bourgogne-Franche-Comté;2021-04-30;27;1506097165;36.579773927;;
Bourgogne-Franche-Comté;2021-10-31;27;1558900571;4.4291042426;;
Bourgogne-Franche-Comté;2022-03-31;27;1658164389;9.3892519986;5192540;0.3121723251
Bourgogne-Franche-Comté;2022-05-31;27;1647080975;9.5884725546;3493494;0.2116532193
Bourgogne-Franche-Comté;2022-06-30;27;1793897282;5.7552545348;4631245;0.2575018928
Bourgogne-Franche-Comté;2022-09-30;27;1665470272;6.3034557354;2980273;0.1786251926
Bourgogne-Franche-Comté;2022-10-31;27;1646999772;5.6513675496;3160414;0.191521649
Bourgogne-Franche-Comté;2023-01-31;27;1683825798;6.9096469032;3848991;0.2280647329
Bourgogne-Franche-Comté;2023-11-30;27;1887790978;4.070222388;3132244;0.1656462813
Bourgogne-Franche-Comté;2023-12-31;27;1982283164;2.9260597134;2544362;0.1281905842
Bourgogne-Franche-Comté;2024-12-31;27;2031495477;2.4826076261;3237322;0.1591030528
Bourgogne-Franche-Comté;2025-01-31;27;1767432670;2.2302921387;4167273;0.235226526
Bourgogne-Franche-Comté;2025-06-30;27;1972050069;1.8371323006;2834654;0.1435351627
Bourgogne-Franche-Comté;2025-12-31;27;2041211178;0.4782536368;2977327;0.1456483584
Normandie;2018-03-31;28;1880065680;2.3228565838;3068012;0.1629205623
Normandie;2018-04-30;28;1877044577;2.9759718315;1737868;0.0924996933
Normandie;2018-05-31;28;1880127357;1.6512279102;2089617;0.1110189223
Normandie;2018-06-30;28;2052112755;2.5799375776;1670911;0.0813576925
Normandie;2018-11-30;28;2027977909;2.3445732771;2006040;0.0988204858
Normandie;2018-12-31;28;2232749599;1.7296429425;1744854;0.0780871932
