Région;Ancienne région;Nature de procédure;Année;Trimestre;Dernier jour du trimestre;﻿Code région;Code ancienne région;Nombre de procédures (brut)
Guadeloupe;Guadeloupe;Redressement judiciaire;2005;3;2005-09-30;01;01;14
Guadeloupe;Guadeloupe;Redressement judiciaire;2006;2;2006-06-30;01;01;24
Guadeloupe;Guadeloupe;Redressement judiciaire;2006;4;2006-12-31;01;01;13
Guadeloupe;Guadeloupe;Redressement judiciaire;2007;3;2007-09-30;01;01;30
Guadeloupe;Guadeloupe;Redressement judiciaire;2009;1;2009-03-31;01;01;16
Guadeloupe;Guadeloupe;Redressement judiciaire;2009;2;2009-06-30;01;01;36
Guadeloupe;Guadeloupe;Redressement judiciaire;2009;3;2009-09-30;01;01;23
Guadeloupe;Guadeloupe;Redressement judiciaire;2010;2;2010-06-30;01;01;23
Guadeloupe;Guadeloupe;Redressement judiciaire;2010;3;2010-09-30;01;01;14
Guadeloupe;Guadeloupe;Redressement judiciaire;2012;1;2012-03-31;01;01;51
Guadeloupe;Guadeloupe;Redressement judiciaire;2012;3;2012-09-30;01;01;37
Guadeloupe;Guadeloupe;Redressement judiciaire;2012;4;2012-12-31;01;01;20
Guadeloupe;Guadeloupe;Redressement judiciaire;2015;4;2015-12-31;01;01;22
Guadeloupe;Guadeloupe;Redressement judiciaire;2016;3;2016-09-30;01;01;14
Guadeloupe;Guadeloupe;Redressement judiciaire;2017;2;2017-06-30;01;01;31
Guadeloupe;Guadeloupe;Redressement judiciaire;2017;4;2017-12-31;01;01;41
Guadeloupe;Guadeloupe;Redressement judiciaire;2018;4;2018-12-31;01;01;31
Guadeloupe;Guadeloupe;Redressement judiciaire;2019;3;2019-09-30;01;01;26
Guadeloupe;Guadeloupe;Redressement judiciaire;2021;1;2021-03-31;01;01;7
Guadeloupe;Guadeloupe;Redressement judiciaire;2021;2;2021-06-30;01;01;7
Guadeloupe;Guadeloupe;Redressement judiciaire;2023;1;2023-03-31;01;01;12
