Région;Dernier jour du mois;﻿Code région;Taux d'impayés fin de mois (%);Taux d'impayés fin de mois suivant (%);Taux d'impayés à échéance + 90 jours (%);Glissement trimestriel - Tx imp. fin de mois;Glissement trimestriel - Tx imp. fin de mois suivant;Glissement trimestriel - Tx imp. à 90 jours;Glissement annuel - Tx imp. fin de mois;Glissement annuel - Tx imp. fin de mois suivant;Glissement annuel - Tx imp. à 90 jours
Martinique;2023-08-31;02;5.466239;4.776782;4.219228;0.145125;-0.316134;-0.442815;-0.337955;-0.361578;-0.682802
Martinique;2023-11-30;02;5.345354;4.762105;4.322211;-0.120885;-0.014677;0.102983;-0.652292;-0.410193;-0.514553
Martinique;2024-03-31;02;5.085122;4.132102;3.91416;-0.175987;-0.433961;-0.149432;0.048881;-0.927761;-0.520023
Martinique;2024-09-30;02;5.140436;4.639615;4.117063;0.229985;-0.050479;0.176227;-0.694009;-0.288952;-0.416289
Martinique;2025-01-31;02;5.959701;4.588593;3.7655934629;-0.191589;-0.038224;-0.293077537;1.309709;0.906816;0.449942463
Martinique;2025-02-28;02;5.425842;4.613049;4.3878791825;0.36606;0.280873;0.3639431825;0.641873;0.167698;0.3797911825
Martinique;2025-06-30;02;4.986965;4.040173;3.5172317426;0.075078;0.037323;-0.165447289;0.076514;-0.649921;-0.423604257
Martinique;2025-10-31;02;4.352956;3.85894;3.2920746372;-0.622935;-0.451858;-0.363403727;-1.798334;-0.767877;-0.766596363
Martinique;2025-12-31;02;4.494397;3.759027;;-0.154808;-0.278994;;-0.395037;-0.732638;
Martinique;2026-01-31;02;4.3022856192;4.2525481814;;-0.050670381;0.3936081814;;-1.657415381;-0.336044819;
Martinique;2026-02-28;02;4.6375971214;;;0.3016571215;;;-0.788244879;;
Guyane;2004-06-30;03;4.340851;3.790653;3.517708;-0.935785;-1.004641;-0.511424;;;
Guyane;2004-12-31;03;5.543399;3.909861;3.520645;0.474339;-0.483357;-0.444151;;;
Guyane;2005-01-31;03;4.755101;3.32705;2.801319;-0.465447;-1.381385;-0.615698;-0.092213;-0.619671;0.589304
Guyane;2005-10-31;03;3.826575;3.614082;3.19034;-0.538471;0.111054;-2.255863;-1.393973;-1.094353;-0.226677
Guyane;2005-11-30;03;5.522205;3.36426;2.91503;0.576774;-2.366032;0.332509;0.126046;-2.012186;-0.455804
Guyane;2005-12-31;03;5.801924;4.025247;3.588616;0.343842;0.151253;0.783506;0.258525;0.115386;0.067971
Guyane;2006-01-31;03;5.553818;4.189019;3.798904;1.727243;0.574937;0.608564;0.798717;0.861969;0.997585
Guyane;2006-02-28;03;5.429171;3.509799;3.301752;-0.093034;0.145539;0.386722;-3.860079;-3.057369;-2.338572
Guyane;2006-03-31;03;5.70119;4.035782;3.047267;-0.100734;0.010535;-0.541349;0.780039;-0.131536;-0.447431
Guyane;2006-05-31;03;7.607391;5.363975;3.901785;2.17822;1.854176;0.600033;3.362658;1.585668;0.477377
Guyane;2006-09-30;03;6.173833;5.315267;3.72123;0.145529;-0.286044;-0.195866;0.715751;1.441273;0.91612
Guyane;2006-11-30;03;6.130173;4.794535;3.518745;0.202554;0.264199;-0.300796;0.607968;1.430275;0.603715
Guyane;2007-12-31;03;4.468974;3.063059;3.082268;-1.054552;-1.432187;0.338183;-0.967759;-2.343329;-0.242631
Guyane;2008-11-30;03;7.000489;6.510569;4.397423;0.162627;0.782143;0.561929;1.411652;1.724266;0.517181
Guyane;2008-12-31;03;7.100802;7.102083;5.425509;0.357261;0.921451;0.384824;2.631828;4.039024;2.343241
Guyane;2009-04-30;03;7.7188669999;7.172533;6.8735729999;0.385215;1.174098;1.750111;0.451568;1.084724;2.4063769999
Guyane;2009-06-30;03;8.3101959999;7.1598879999;6.4842139999;1.947212;1.977814;2.6275389999;1.3453799999;2.7521609999;2.945396
Guyane;2009-07-31;03;8.284998;7.281255;5.899204;0.5661310001;0.108722;-0.974369;1.4708610001;1.665018;1.56651
Guyane;2009-10-31;03;5.735538;4.926649;4.109778;-2.54946;-2.354606;-1.789426;-1.817992;-1.447481;-0.817907
Guyane;2009-11-30;03;6.043138;5.411267;4.128216;0.664543;0.201584;-0.600386;-0.957351;-1.099302;-0.269207
Guyane;2009-12-31;03;6.710888;4.850405;4.569101;-0.347172;-1.354651;-0.564463;-0.389914;-2.251678;-0.856408
Guyane;2010-02-28;03;9.3075659999;7.8988669999;8.482974;3.2644279999;2.4875999999;4.354758;3.106656;2.885114;4.026348
Guyane;2010-06-30;03;9.79792;6.9881889999;5.420998;2.030165;-0.131948;-1.027577;1.4877240001;-0.171699;-1.063216
